"artist";"year";"song_name";"lyrics";"lyrics_cleaned"
"Sheida";2007;"I Mina Drömmar";"Ser mig omkring, nånting har hänt här
Jag vet inte vad, det är någonting jag känner
Och när natten blir till dag
Står verkligheten still ett tag
Minns det så väl, och fastän jag blundar
Din doft hänger kvar när morgonen stundar
För den kärlek som vi har
Och den närhet som vi delar kommer alltid finnas kvar
I mina drömmar når jag dig
Du ler mot mig och säger: ""Här är jag""
Och känslan som jag får
När du ser på mig, när du rör vid mig
Vi kan övervinna allt
Då finns inga tvivel kvar
Blundar igen, känner du ser mig
Slumrar igen, jag vet att du hör mig
I en evighetssekund blir du ängeln i mitt rum
I mina drömmar når jag dig
Du ler mot mig och säger: ""Här är jag""
Och känslan som jag får
När du ser på mig, när du rör vid mig
Vi kan övervinna allt
Då finns inga tvivel kvar
(När du ser på mig, rör vid mig)
(Vi kan övervinna allt)
(Då finns inga tvivel kvar)
I mina drömmar når jag dig
Du ler mot mig och säger: ""Här är jag""
Och känslan som jag får
När du ser på mig, när du rör vid mig
Vi kan övervinna allt
Då finns inga tvivel kvar
I mina drömmar når jag dig, oooh
I mina drömmar når jag dig";"Ser mig omkring, nånting har hänt här
Jag vet inte vad, det är någonting jag känner
Och när natten blir till dag
Står verkligheten still ett tag
Minns det så väl, och fastän jag blundar
Din doft hänger kvar när morgonen stundar
För den kärlek som vi har
Och den närhet som vi delar kommer alltid finnas kvar
I mina drömmar når jag dig
Du ler mot mig och säger: ""Här är jag""
Och känslan som jag får
När du ser på mig, när du rör vid mig
Vi kan övervinna allt
Då finns inga tvivel kvar
Blundar igen, känner du ser mig
Slumrar igen, jag vet att du hör mig
I en evighetssekund blir du ängeln i mitt rum
I mina drömmar når jag dig
Du ler mot mig och säger: ""Här är jag""
Och känslan som jag får
När du ser på mig, när du rör vid mig
Vi kan övervinna allt
Då finns inga tvivel kvar
(När du ser på mig, rör vid mig)
(Vi kan övervinna allt)
(Då finns inga tvivel kvar)
I mina drömmar når jag dig
Du ler mot mig och säger: ""Här är jag""
Och känslan som jag får
När du ser på mig, när du rör vid mig
Vi kan övervinna allt
Då finns inga tvivel kvar
I mina drömmar når jag dig, oooh
I mina drömmar når jag dig"
"The Attic & Therese";2007;"The Arrival";"Oh, don't you believe?
Yeah
It's human rights to love someone
Everybody knows except for you
Come closer now, don't hesitate
Let your pride go now
You say: no strings attached
It's easy when you think you're invisible
Don't you believe we need love to survive?
Baby, don't feel the arrival of love
Don't you believe that it brings you to life?
Baby, it's here, the arrival of love
Sometimes it feels we can't make it alone
That's when we need the arrival of love
Don't you believe when you feel the arrival of love?
It's common sense to love someone
You can feel the same, I know you can
Get into me, I want you now
Let your body talk now
You say: no strings attached
It's easy when you think you're invisible
Don't you believe we need love to survive?
Baby, don't feel the arrival of love
Don't you believe that it brings you to life?
Baby, it's here, the arrival of love
Sometimes it feels we can't make it alone
That's when we need the arrival of love
Don't you believe when you feel the arrival of love?
Don't you believe (We need love to survive?)
I know you can, yeah
(We need love to survive) Yeah
You say: no strings attached
It's easy when you think you're invisible, oh
Don't you believe we need love to survive?
Baby, don't feel the arrival of love
Don't you believe that it brings you to life?
Baby, it's here, the arrival of love
Sometimes it feels we can't make it alone
That's when we need the arrival of love
Don't you believe when you feel the arrival of love?
Don't you believe when you feel the arrival of love?";"Oh, don't you believe?
Yeah
It's human rights to love someone
Everybody knows except for you
Come closer now, don't hesitate
Let your pride go now
You say: no strings attached
It's easy when you think you're invisible
Don't you believe we need love to survive?
Baby, don't feel the arrival of love
Don't you believe that it brings you to life?
Baby, it's here, the arrival of love
Sometimes it feels we can't make it alone
That's when we need the arrival of love
Don't you believe when you feel the arrival of love?
It's common sense to love someone
You can feel the same, I know you can
Get into me, I want you now
Let your body talk now
You say: no strings attached
It's easy when you think you're invisible
Don't you believe we need love to survive?
Baby, don't feel the arrival of love
Don't you believe that it brings you to life?
Baby, it's here, the arrival of love
Sometimes it feels we can't make it alone
That's when we need the arrival of love
Don't you believe when you feel the arrival of love?
Don't you believe (We need love to survive?)
I know you can, yeah
(We need love to survive) Yeah
You say: no strings attached
It's easy when you think you're invisible, oh
Don't you believe we need love to survive?
Baby, don't feel the arrival of love
Don't you believe that it brings you to life?
Baby, it's here, the arrival of love
Sometimes it feels we can't make it alone
That's when we need the arrival of love
Don't you believe when you feel the arrival of love?
Don't you believe when you feel the arrival of love?"
"Sebastian";2007;"When the Night Comes Falling";"You see me running like I'm out of my mind
A cloud of worries staying close behind
A constant pain of working overtime
I'm just another face in another line
But there is hope to seek in times of madness
This day is almost done
When the night comes falling I'll be calling
We'll go crazy and spend our pay
As the sun is setting we're forgetting
Everything will be okey
Everything will be okey
Another day and I am done once more
I keep on working but don't know what for
A lot of effort for a tiny score
But none of this will matter when I'm gone for sure
But there is hope to seek in times of madness
Cause time is on our side
When the night comes falling I'll be calling
We'll go crazy and spend our pay
As the sun is setting we're forgetting
Everything will be okey
Everything will be okey
It takes a dream to keep us alive
To keep us moving on
And though it seems we're just getting by
Together we're still strong
(Together we're still strong)
When the night comes falling I'll be calling
We'll go crazy and spend our pay
As the sun is setting we're forgetting
Everything will be okey
(When the night comes falling I'll be calling)
The night will get you through the day
As the sun is setting we're forgetting
Everything will be okey
Everything will be okey";"You see me running like I'm out of my mind
A cloud of worries staying close behind
A constant pain of working overtime
I'm just another face in another line
But there is hope to seek in times of madness
This day is almost done
When the night comes falling I'll be calling
We'll go crazy and spend our pay
As the sun is setting we're forgetting
Everything will be okey
Everything will be okey
Another day and I am done once more
I keep on working but don't know what for
A lot of effort for a tiny score
But none of this will matter when I'm gone for sure
But there is hope to seek in times of madness
Cause time is on our side
When the night comes falling I'll be calling
We'll go crazy and spend our pay
As the sun is setting we're forgetting
Everything will be okey
Everything will be okey
It takes a dream to keep us alive
To keep us moving on
And though it seems we're just getting by
Together we're still strong
(Together we're still strong)
When the night comes falling I'll be calling
We'll go crazy and spend our pay
As the sun is setting we're forgetting
Everything will be okey
(When the night comes falling I'll be calling)
The night will get you through the day
As the sun is setting we're forgetting
Everything will be okey
Everything will be okey"
"Sonja Aldén";2007;"För att du finns";"Lätta spår i sanden
Och en vind som smeker ömt
Jag är så lycklig att jag fann den
Den lyckan som jag alltid drömt
Så kom närmre mig
Låt mig värma dig
För att du finns
För att du kan
Du leder vågorna mot land
Du river murarna mot världen
För att du ser
För att du förstår
Nu lyser himlen där jag går
Du tar min hand och visar vägen
När du står framför mig
Då ter sig allting som det ska
Så kom närmre mig, mm mm ooh
För att du finns
För att du kan
Du leder vågorna mot land
Du river murarna mot världen, ooh
För att du ser
För att du förstår
Nu lyser himlen där jag går
Du tar min hand och visar vägen
För att du älskar idag
För att du älskar som jag, ohoh oooh
(För att du finns)
(För att du kan)
(Du leder vågorna mot land)
Du river murarna mot världen, ooh
För att du ser
För att du förstår
Nu lyser himlen där jag går
Du tar min hand och visar vägen
För att du älskar idag
För att du älskar som jag
Som jag";"Lätta spår i sanden
Och en vind som smeker ömt
Jag är så lycklig att jag fann den
Den lyckan som jag alltid drömt
Så kom närmre mig
Låt mig värma dig
För att du finns
För att du kan
Du leder vågorna mot land
Du river murarna mot världen
För att du ser
För att du förstår
Nu lyser himlen där jag går
Du tar min hand och visar vägen
När du står framför mig
Då ter sig allting som det ska
Så kom närmre mig, mm mm ooh
För att du finns
För att du kan
Du leder vågorna mot land
Du river murarna mot världen, ooh
För att du ser
För att du förstår
Nu lyser himlen där jag går
Du tar min hand och visar vägen
För att du älskar idag
För att du älskar som jag, ohoh oooh
(För att du finns)
(För att du kan)
(Du leder vågorna mot land)
Du river murarna mot världen, ooh
För att du ser
För att du förstår
Nu lyser himlen där jag går
Du tar min hand och visar vägen
För att du älskar idag
För att du älskar som jag
Som jag"
"Nanne";2007;"Jag måste kyssa dig";"Jag vill veta vem du kan vara
Kanske är du prinsen för mej
Så jag har nåt jag måste göra
Så jag gör det nu
Jag måste
Har alltid kunnat känna spänningen, aha
Har alltid varit'snabb i vändningen, aha
Jag vill vinna varje gem och set,
Men det ska aldrig gå för lätt, aha
Och jag vill inte ha nåt one-night-stand, aha
Jag tänker kolla om du är min man, aha
Vet det var nånting med grodorna,
Som jag läst som liten i sagorna, aha
Jag vill veta vem du kan vara
Kanske är du prinsen för mej
Så jag har nåt jag måste göra
Kyssa dej, jag sa kyssa dej
Varje skepnad kan vara lånad,
Rätta svaret har bara du,
Hellre veta än bli förvånad,
Så jag gör det nu
Jag måste kyssa dej,
Ky-kyssa dej
Så det är dags att sätta in en stöt, aha
Vi går som katter kring het gröt, aha aha
Är du bara nöjd med det du sett,
Glöm ångervecka och bytesrätt, aha
Det är för din skull jag har kommit hit, aha
Du har min allra sista pusselbit, aha
Vill ha svar på det jag undrar nu
Så kom lite närmre och blunda nu, aha
Jag vill veta vem du kan vara....
Ja, jag vill och jag ska
Stå stå still för jag
Måste kyssa dig
Måste kyssa dig";"Jag vill veta vem du kan vara
Kanske är du prinsen för mej
Så jag har nåt jag måste göra
Så jag gör det nu
Jag måste
Har alltid kunnat känna spänningen, aha
Har alltid varit'snabb i vändningen, aha
Jag vill vinna varje gem och set,
Men det ska aldrig gå för lätt, aha
Och jag vill inte ha nåt one-night-stand, aha
Jag tänker kolla om du är min man, aha
Vet det var nånting med grodorna,
Som jag läst som liten i sagorna, aha
Jag vill veta vem du kan vara
Kanske är du prinsen för mej
Så jag har nåt jag måste göra
Kyssa dej, jag sa kyssa dej
Varje skepnad kan vara lånad,
Rätta svaret har bara du,
Hellre veta än bli förvånad,
Så jag gör det nu
Jag måste kyssa dej,
Ky-kyssa dej
Så det är dags att sätta in en stöt, aha
Vi går som katter kring het gröt, aha aha
Är du bara nöjd med det du sett,
Glöm ångervecka och bytesrätt, aha
Det är för din skull jag har kommit hit, aha
Du har min allra sista pusselbit, aha
Vill ha svar på det jag undrar nu
Så kom lite närmre och blunda nu, aha
Jag vill veta vem du kan vara
Ja, jag vill och jag ska
Stå stå still för jag
Måste kyssa dig
Måste kyssa dig"
"Magnus Uggla";2007;"För kung och fosterland";"För kung och fosterland, För kung och fosterland.
Vardagens problem sätter par på prov.
Vissa går i terapi.
Far till Baravara för att få ro, men så funkar inte vi.
Har vi tråkigt min fru och jag, ringer vi in en skum polack.
Källar'n blir till ett hemmaspa. Inga halvmessirer tack!
En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
Vi drar till Paris, shoppar loss som få.
Ingen tid får gå till spill. Ser jag något snyggt,
vill jag köpa två. Kosta vad det kosta vill.
Adoption e vår nya grej.
Lättar upp för en liten stund.
Vi beställer en gullig tjej, och sen köper vi en hund.
En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
Vi lever varje timme som om allting ska ta slut.
Vi struntar gärna i kritiken om vårt överflöd.
Väskor, skor och möbler måste alltid bytas ut.
I morgon kan man faktiskt vara död!
En dag kan, En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
För kung och fosterland.
För kung och fosterland.";"För kung och fosterland, För kung och fosterland.
Vardagens problem sätter par på prov.
Vissa går i terapi.
Far till Baravara för att få ro, men så funkar inte vi.
Har vi tråkigt min fru och jag, ringer vi in en skum polack.
Källar'n blir till ett hemmaspa. Inga halvmessirer tack!
En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
Vi drar till Paris, shoppar loss som få.
Ingen tid får gå till spill. Ser jag något snyggt,
vill jag köpa två. Kosta vad det kosta vill.
Adoption e vår nya grej.
Lättar upp för en liten stund.
Vi beställer en gullig tjej, och sen köper vi en hund.
En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
Vi lever varje timme som om allting ska ta slut.
Vi struntar gärna i kritiken om vårt överflöd.
Väskor, skor och möbler måste alltid bytas ut.
I morgon kan man faktiskt vara död!
En dag kan, En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
En dag kan hela världen stå i brand, så kör för kung och fosterland.
Köp mera, spendera så mycket som du kan, För kung och fosterland!
För kung och fosterland.
För kung och fosterland."
"Emilè Azar";2007;"Vi hade nåt";"Du behöver inte svara
När det inte finns nå't svar
Eller döljer jag dina känslor
Om de inte ens finns kvar?
Kanske finns det inget mer att säga
Men kan du så hjälp mig förstå
Vi hade nå't som ingen förstod
Vi hade nå't som inga ord kan förklara
Och vi var en kraft som ingen rådde på
Större än livet, större än oss
Större än vad de trodde vi kunde vara
Så säg mig: kan nå't så stort ta slut så fort?
Jag bara undrar
Stod vi tysta och såg på
Medan sprickorna blev större?
Kan det va' så, kan det verkligen va' så?
Ska vi gå omkring och konstatera
Att vi missar vårt livs enda chans?
Vi hade nå't som ingen förstod
Vi hade nå't som inga ord kan förklara
Och vi var en kraft som ingen rådde på
Större än livet, större än oss
Större än vad de trodde vi kunde vara
Så säg mig: kan nå't så stort ta slut så fort?
Ska vi skiljas som vänner
Kanske mötas nå'n gång?
Ska vi ge upp en omöjlig dröm?
Och låta minnena blekna
Låta allt bli som förr
Till en dag då vi äntligen glömt
Vi hade nå't som ingen förstod
Vi hade nå't som inga ord kan förklara
Och vi var en kraft som ingen rådde på
Större än livet, större än oss
Större än vad de trodde vi kunde vara
Så säg mig: kan nå't så stort ta slut så fort?
(Vi hade nå't som ingen förstod)
Ta slut så fort?
(Vi hade nå't som inga ord kan förklara)
Ta slut så fort?";"Du behöver inte svara
När det inte finns nå't svar
Eller döljer jag dina känslor
Om de inte ens finns kvar?
Kanske finns det inget mer att säga
Men kan du så hjälp mig förstå
Vi hade nå't som ingen förstod
Vi hade nå't som inga ord kan förklara
Och vi var en kraft som ingen rådde på
Större än livet, större än oss
Större än vad de trodde vi kunde vara
Så säg mig: kan nå't så stort ta slut så fort?
Jag bara undrar
Stod vi tysta och såg på
Medan sprickorna blev större?
Kan det va' så, kan det verkligen va' så?
Ska vi gå omkring och konstatera
Att vi missar vårt livs enda chans?
Vi hade nå't som ingen förstod
Vi hade nå't som inga ord kan förklara
Och vi var en kraft som ingen rådde på
Större än livet, större än oss
Större än vad de trodde vi kunde vara
Så säg mig: kan nå't så stort ta slut så fort?
Ska vi skiljas som vänner
Kanske mötas nå'n gång?
Ska vi ge upp en omöjlig dröm?
Och låta minnena blekna
Låta allt bli som förr
Till en dag då vi äntligen glömt
Vi hade nå't som ingen förstod
Vi hade nå't som inga ord kan förklara
Och vi var en kraft som ingen rådde på
Större än livet, större än oss
Större än vad de trodde vi kunde vara
Så säg mig: kan nå't så stort ta slut så fort?
(Vi hade nå't som ingen förstod)
Ta slut så fort?
(Vi hade nå't som inga ord kan förklara)
Ta slut så fort?"
"Sanna Nielsen";2007;"Vågar du, vågar jag";"Ser du ljuset?
Mörkret skingras nu
Livet börjar om igen
Alla drömmar
Får sin andra chans
När vi möts i gryningen
Livet börjar här och nu
Idag finns bara jag och du
Jag vill lämna det som var
Vågar du, vågar jag
Livet börjar här och nu
Det bästa i mitt liv är du
Jag vill leva här idag
Vågar du, vågar jag
Där i natten
Fanns ett morgonljus
Sorgerna vi haft försvann
Alla löften
Gud som gavs och bröts
Alla tårar för varann
Livet börjar här och nu
Idag finns bara jag och du
Jag vill lämna det som var
Vågar du, vågar jag
Livet börjar här och nu
Det bästa i mitt liv är du
Jag vill leva här idag
Vågar du, vågar jag
Det är dig jag vill ha
Vågar du, vågar jag
Livet börjar här och nu
Idag finns bara jag och du
Jag vill lämna det som var
Vågar du, vå-vågar jag
Livet börjar här och nu
Det bästa i mitt liv är du
Jag vill leva här idag
Vågar du, vågar jag
Vågar du så vågar jag
Vågar du så vågar jag";"Ser du ljuset?
Mörkret skingras nu
Livet börjar om igen
Alla drömmar
Får sin andra chans
När vi möts i gryningen
Livet börjar här och nu
Idag finns bara jag och du
Jag vill lämna det som var
Vågar du, vågar jag
Livet börjar här och nu
Det bästa i mitt liv är du
Jag vill leva här idag
Vågar du, vågar jag
Där i natten
Fanns ett morgonljus
Sorgerna vi haft försvann
Alla löften
Gud som gavs och bröts
Alla tårar för varann
Livet börjar här och nu
Idag finns bara jag och du
Jag vill lämna det som var
Vågar du, vågar jag
Livet börjar här och nu
Det bästa i mitt liv är du
Jag vill leva här idag
Vågar du, vågar jag
Det är dig jag vill ha
Vågar du, vågar jag
Livet börjar här och nu
Idag finns bara jag och du
Jag vill lämna det som var
Vågar du, vå-vågar jag
Livet börjar här och nu
Det bästa i mitt liv är du
Jag vill leva här idag
Vågar du, vågar jag
Vågar du så vågar jag
Vågar du så vågar jag"
"Caroline af Ugglas";2007;"Tror på dig";"Vill ha ett svar
Jag vill veta när du är redo
Men är rädd att förlåta dig
Så om du älskar mig, som du säger att du gör
Kan det inte va' så svårt
Så jag ska tro på dig
Jag ska ge dig all den tid som du vill ha
Jag finns här för dig
Jag ska offra allt, jag ska ge vad du vill ha
Åh, tro på dig, jag tror på dig
Din kärlek är ett frö som behöver tid att gro
Jag tror på oss
Att du får vara fri
Ju längre man väntar
Desto mognare blir smaken på ett vin
Så jag ska tro på dig
Jag ska ge dig all den tid som du vill ha
Jag finns här för dig
Jag ska offra allt, jag ska ge vad du vill ha
Åh, tro på dig, jag tror på dig
Hur ska jag få dig, hur ska jag få dig att förstå
Att jag orkar inte längre, men jag är här för dig ändå?
För jag ska ge dig tid, den tid, den tid, den tid det tar
Så jag ska tro på dig
Jag ska ge dig all den tid som du vill ha
Jag finns här för dig
Jag ska offra allt, jag ska ge vad du vill ha
Åh, tro på dig, jag tror på
Tror på dig, tror på dig
Jag ska alltid tro på
Tror på dig, tror på dig
Jag ska alltid tro på
Tror på dig, tror på dig
Jag ska alltid tro på dig
Ja, jag ska alltid tro på dig";"Vill ha ett svar
Jag vill veta när du är redo
Men är rädd att förlåta dig
Så om du älskar mig, som du säger att du gör
Kan det inte va' så svårt
Så jag ska tro på dig
Jag ska ge dig all den tid som du vill ha
Jag finns här för dig
Jag ska offra allt, jag ska ge vad du vill ha
Åh, tro på dig, jag tror på dig
Din kärlek är ett frö som behöver tid att gro
Jag tror på oss
Att du får vara fri
Ju längre man väntar
Desto mognare blir smaken på ett vin
Så jag ska tro på dig
Jag ska ge dig all den tid som du vill ha
Jag finns här för dig
Jag ska offra allt, jag ska ge vad du vill ha
Åh, tro på dig, jag tror på dig
Hur ska jag få dig, hur ska jag få dig att förstå
Att jag orkar inte längre, men jag är här för dig ändå?
För jag ska ge dig tid, den tid, den tid, den tid det tar
Så jag ska tro på dig
Jag ska ge dig all den tid som du vill ha
Jag finns här för dig
Jag ska offra allt, jag ska ge vad du vill ha
Åh, tro på dig, jag tror på
Tror på dig, tror på dig
Jag ska alltid tro på
Tror på dig, tror på dig
Jag ska alltid tro på
Tror på dig, tror på dig
Jag ska alltid tro på dig
Ja, jag ska alltid tro på dig"
"After Dark";2007;"(Åh) När ni tar saken i egna händer";"(Åh, när ni tar saken i egna händer)
(Åh, när ni gör som dom på tv gör)
Martin, en fixarnas man
Äntligen hemma med borr i sin hand
Han reser ett lusthus, han satsar på kaklet
Med huvudet på skaft han träffar taket
Tina, hon matar sig lugn
Hon pillar på knappen på sin varmluftsugn
Glöm vispar och slevar, här finns tips till tusen
Använd fingret, det gör susen
Åh, när ni tar saken i egna händer
Åh, när ni gör som dom på tv gör
Då ska ni se att livet får en ny kick
Prova deras sköna trick
Åh, när ni rycker fram och gör allt själva
Åh, när ni släpper lös er fantasi
Är det inget att skämmas
För grannen gör nog likadant
Upp med nävarna, kör hårt
Ni ska se att det går (det går, det går, det går)
Bosse, han smeker sitt krom
När han leker doktor med sin Amazon
Han oljar sin växelspak, han är en tuff en
Schyssta rattar, fram med muffen
Ernst, hans tanke är fin
Han skakar liv i en slaknad ruin
Han pular och pålar och ser: han får opp'et
Nu trallar han i sommartorpet
Han trallar på torpet
Åh, när ni tar saken i egna händer
Åh, när ni gör som dom på tv gör
Då ska ni se att livet får en ny kick
Prova deras sköna trick
Åh, när ni rycker fram och gör allt själva
Åh, när ni släpper lös er fantasi
Är det inget att skämmas
För grannen gör nog likadant
Upp med nävarna, kör hårt
Ni ska se att det går
(Åh när ni)
Är det inget att skämmas
För grannen gör nog likadant
Upp med nävarna, kör hårt
Ni ska se att det går
Det går, det går, det går (det går)
Ni ska se att det går";"(Åh, när ni tar saken i egna händer)
(Åh, när ni gör som dom på tv gör)
Martin, en fixarnas man
Äntligen hemma med borr i sin hand
Han reser ett lusthus, han satsar på kaklet
Med huvudet på skaft han träffar taket
Tina, hon matar sig lugn
Hon pillar på knappen på sin varmluftsugn
Glöm vispar och slevar, här finns tips till tusen
Använd fingret, det gör susen
Åh, när ni tar saken i egna händer
Åh, när ni gör som dom på tv gör
Då ska ni se att livet får en ny kick
Prova deras sköna trick
Åh, när ni rycker fram och gör allt själva
Åh, när ni släpper lös er fantasi
Är det inget att skämmas
För grannen gör nog likadant
Upp med nävarna, kör hårt
Ni ska se att det går (det går, det går, det går)
Bosse, han smeker sitt krom
När han leker doktor med sin Amazon
Han oljar sin växelspak, han är en tuff en
Schyssta rattar, fram med muffen
Ernst, hans tanke är fin
Han skakar liv i en slaknad ruin
Han pular och pålar och ser: han får opp'et
Nu trallar han i sommartorpet
Han trallar på torpet
Åh, när ni tar saken i egna händer
Åh, när ni gör som dom på tv gör
Då ska ni se att livet får en ny kick
Prova deras sköna trick
Åh, när ni rycker fram och gör allt själva
Åh, när ni släpper lös er fantasi
Är det inget att skämmas
För grannen gör nog likadant
Upp med nävarna, kör hårt
Ni ska se att det går
(Åh när ni)
Är det inget att skämmas
För grannen gör nog likadant
Upp med nävarna, kör hårt
Ni ska se att det går
Det går, det går, det går (det går)
Ni ska se att det går"
"Sarah Dawn Finer";2007;"I Remember Love";"I can see it in your eyes
I can see it in your face
I could feel it when we touched
It used to mean so much
But now it's gone away
We were young and dreams were new
And every word we said was true
Any mountain we could climb
You made me feel alive
First time in my life
But, I remember love
So beautiful
Now I know my heart is breakable
'And I remember love
The true meaning of
I remember, I remember love
Now the years have come and gone
Oh, and by now we've both moved on
I admit that there are nights
When I wonder why
Why we said goodbye
'Cause I remember love
So beautiful
Now I know my heart is breakable
'Cause I remember love
The true meaning of
I remember, I remember love
Oh, I've been losing faith each time I fall
But I still believe love conquers all
'Cause I remember love
(So beautiful)
Now I know my heart is breakable
'But I remember love
The true meaning of
(I remember, I remember love)
Yes, I remember, I remember love
Now I know my heart is breakable
When we see your face as I hear your voice
I remember, I remember love";"I can see it in your eyes
I can see it in your face
I could feel it when we touched
It used to mean so much
But now it's gone away
We were young and dreams were new
And every word we said was true
Any mountain we could climb
You made me feel alive
First time in my life
But, I remember love
So beautiful
Now I know my heart is breakable
'And I remember love
The true meaning of
I remember, I remember love
Now the years have come and gone
Oh, and by now we've both moved on
I admit that there are nights
When I wonder why
Why we said goodbye
'Cause I remember love
So beautiful
Now I know my heart is breakable
'Cause I remember love
The true meaning of
I remember, I remember love
Oh, I've been losing faith each time I fall
But I still believe love conquers all
'Cause I remember love
(So beautiful)
Now I know my heart is breakable
'But I remember love
The true meaning of
(I remember, I remember love)
Yes, I remember, I remember love
Now I know my heart is breakable
When we see your face as I hear your voice
I remember, I remember love"
"Verona";2007;"La musica";"Ho nel mio cuore
-e non so perche'
questo languore
-e non so perche'
Un 'emozione
or si fa sentir
una tentazione
che mi fa uscir
Ooo
C'e'amore nella musica
ma dov'e'
si dove'e'?
C'e' amore nella musica
ci sara'
ci sara'
C'e'amore nella musica
si dov'e'
si dov'e'?
C'e'amore nella musica
la musica!
Un'immersione
questo si mi va
la soluzione
questo si mi va
Se tu ci sei
e mi fai danzar
ma, a chi lo dici
che mi vuoi baciar!
Ooo
C'e'amore nella musica
ma dov'e'
si dove'e'?
C'e' amore nella musica
ci sara'
ci sara'
C'e'amore nella musica
si dov'e'
si dov'e'?
C'e'amore nella musica
la musica!";"Ho nel mio cuore
-e non so perche'
questo languore
-e non so perche'
Un 'emozione
or si fa sentir
una tentazione
che mi fa uscir
Ooo
C'e'amore nella musica
ma dov'e'
si dove'e'?
C'e' amore nella musica
ci sara'
ci sara'
C'e'amore nella musica
si dov'e'
si dov'e'?
C'e'amore nella musica
la musica!
Un'immersione
questo si mi va
la soluzione
questo si mi va
Se tu ci sei
e mi fai danzar
ma, a chi lo dici
che mi vuoi baciar!
Ooo
C'e'amore nella musica
ma dov'e'
si dove'e'?
C'e' amore nella musica
ci sara'
ci sara'
C'e'amore nella musica
si dov'e'
si dov'e'?
C'e'amore nella musica
la musica!"
"Andreas Johnson";2007;"A Little Bit of Love";"We've got to make a move
Take a chance
While the night is young
On sweet romance
Though we fuzz and fight
You're my song and dance
Almost every night
Your heart is mine
Yeah, we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
We've come a long, long way
From the world we knew
And the streets we played
In our neighbourhood
No matter what they say
About me and you
We live the way we do
The way we do
Yeah, we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
Ohh, you better believe it (aha)
Darling, ohh,
You better believe it
We all need it
So we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
Heey!
Ohh, you better believe it (aha)
Darling, ohh,
You better believe it
We all need it
I wanna be with you
In every room
I wanna walk with you
As bride and groom
Though we crash and burn
We're still in bloom
It's a give and take
And you're my fate
So we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
Yeah, we're always gonna
Break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
And that's just a part of it
It's all for a little bit of love";"We've got to make a move
Take a chance
While the night is young
On sweet romance
Though we fuzz and fight
You're my song and dance
Almost every night
Your heart is mine
Yeah, we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
We've come a long, long way
From the world we knew
And the streets we played
In our neighbourhood
No matter what they say
About me and you
We live the way we do
The way we do
Yeah, we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
Ohh, you better believe it (aha)
Darling, ohh,
You better believe it
We all need it
So we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
Heey!
Ohh, you better believe it (aha)
Darling, ohh,
You better believe it
We all need it
I wanna be with you
In every room
I wanna walk with you
As bride and groom
Though we crash and burn
We're still in bloom
It's a give and take
And you're my fate
So we break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
Yeah, we're always gonna
Break up a little bit
Make up a little bit
Shape up a little bit
Try some harder
And that's just a part of it
It's all for a little bit of love
And that's just a part of it
It's all for a little bit of love"
