"id","artist","artist_wikilink","birthplace","residence","birthyear"
"2013_1_8","Michael Feiner & Caisa","sv.wikipedia.org/wiki/Michael_Feiner & sv.wikipedia.org/wiki/Caisa_Ahlroth","","",""
"2013_2_1","Anton Ewald","sv.wikipedia.org/wiki/Anton_Ewald","","",""
"2013_2_2","Felicia Olsson","sv.wikipedia.org/wiki/Felicia_Olsson","","",""
"2013_2_3","Joacim Cans","sv.wikipedia.org/wiki/Joacim_Cans","","",""
"2013_2_4","Swedish House Wives","sv.wikipedia.org/wiki/Swedish_House_Wives","","",""
"2013_2_5","Erik Segerstedt & Tone Damli","sv.wikipedia.org/wiki/Erik_Segerstedt & sv.wikipedia.org/wiki/Tone_Damli","","",""
"2013_2_6","Louise Hoffsten","sv.wikipedia.org/wiki/Louise_Hoffsten","","",""
"2013_2_7","Rikard Wolff & Sara Isaksson","sv.wikipedia.org/wiki/Rikard_Wolff & sv.wikipedia.org/wiki/Sara_Isaksson_(musiker)","","",""
"2013_3_1","Eddie Razaz","sv.wikipedia.org/wiki/Eddie_Razaz","","",""
"2013_3_2","Elin Petersson","sv.wikipedia.org/wiki/Elin_Petersson","","",""
"2013_3_3","Ravaillacz","sv.wikipedia.org/wiki/Ravaillacz","","",""
"2013_3_4","Amanda Fondell","sv.wikipedia.org/wiki/Amanda_Fondell","","",""
"2013_3_5","Martin Rolinski","sv.wikipedia.org/wiki/Martin_Rolinski","","",""
"2013_3_7","State of Drama","sv.wikipedia.org/wiki/State_of_Drama","","",""
"2013_3_8","Janet Leon","sv.wikipedia.org/wiki/Janet_Leon","","",""
"2013_4_1","Army of Lovers","sv.wikipedia.org/wiki/Army_of_Lovers","","",""
"2013_4_2","Lucia Piñera","sv.wikipedia.org/wiki/Lucia_Pi%C3%B1era","","",""
"2013_4_3","Robin Stjernberg","sv.wikipedia.org/wiki/Robin_Stjernberg","","",""
"2013_4_5","Ralf Gyllenhammar","sv.wikipedia.org/wiki/Ralf_Gyllenhammar","","",""
"2013_4_6","Behrang Miri & Loulou Lamotte & Oscar Zia","sv.wikipedia.org/wiki/Behrang_Miri & sv.wikipedia.org/wiki/Loulou_Lamotte & sv.wikipedia.org/wiki/Oscar_Zia","","",""
"2013_4_7","Terese Fredenwall","sv.wikipedia.org/wiki/Terese_Fredenwall","","",""
"2014_1_2","Mahan Moin","sv.wikipedia.org/wiki/Mahan_Moin","","",""
"2014_1_3","Linus Svenning","sv.wikipedia.org/wiki/Linus_Svenning","","",""
"2014_1_4","Elisa Lindström","sv.wikipedia.org/wiki/Elisa_Lindstr%C3%B6m","","",""
"2014_1_5","Alvaro Estrella","sv.wikipedia.org/wiki/Alvaro_Estrella","","",""
"2014_1_6","Ellen Benediktson","sv.wikipedia.org/wiki/Ellen_Benediktson","","",""
"2014_1_7","Sylvester Schlegel","sv.wikipedia.org/wiki/Sylvester_Schlegel","","",""
"2014_1_8","Helena Paparizou","sv.wikipedia.org/wiki/Helena_Paparizou","","",""
"2014_2_1","J.E.M","sv.wikipedia.org/wiki/J.E.M_(musikgrupp)","","",""
"2014_2_2","The Refreshments","sv.wikipedia.org/wiki/The_Refreshments","","",""
"2014_2_3","Manda","sv.wikipedia.org/wiki/Manda_Nils%C3%A9nius","","",""
"2014_2_4","Panetoz","sv.wikipedia.org/wiki/Panetoz","","",""
"2014_2_5","Pink Pistols","sv.wikipedia.org/wiki/Pink_Pistols","","",""
"2014_2_7","Little Great Things","sv.wikipedia.org/wiki/Little_Great_Things","","",""
"2014_3_1","Outtrigger","sv.wikipedia.org/wiki/Outtrigger","","",""
"2014_3_2","Eko","sv.wikipedia.org/wiki/Eko_(musikgrupp)","","",""
"2014_3_3","Oscar Zia","sv.wikipedia.org/wiki/Oscar_Zia","","",""
"2014_3_6","CajsaStina Åkerström","sv.wikipedia.org/wiki/CajsaStina_%C3%85kerstr%C3%B6m","","",""
"2014_3_7","Ace Wilder","sv.wikipedia.org/wiki/Ace_Wilder","","",""
"2014_3_8","Dr. Alban & Jessica Folcker","sv.wikipedia.org/wiki/Dr._Alban & sv.wikipedia.org/wiki/Jessica_Folcker","","",""
"2014_4_2","I.D.A","sv.wikipedia.org/wiki/I.D.A","","",""
"2014_4_4","Ammotrack","sv.wikipedia.org/wiki/Ammotrack","","",""
"2014_4_5","Josef Johansson","sv.wikipedia.org/wiki/Josef_Johansson","","",""
"2014_4_7","Ellinore Holmer","sv.wikipedia.org/wiki/Ellinore_Holmer","","",""
